,Title,Link,Rating,Release Year
0,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chttp_i_1,9.3,1994
1,The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chttp_i_2,9.2,1972
2,The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=chttp_i_3,9.0,2008
3,The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=chttp_i_4,9.0,1974
4,Angry Men,https://www.imdb.com/title/tt0050083/?ref_=chttp_i_5,9.0,1957
5,Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=chttp_i_6,9.0,1993
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=chttp_i_7,9.0,2003
7,Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=chttp_i_8,8.9,1994
8,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=chttp_i_9,8.9,2001
9,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/?ref_=chttp_i_10,8.8,1966
10,Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=chttp_i_11,8.8,1994
11,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=chttp_i_12,8.8,2002
12,Fight Club,https://www.imdb.com/title/tt0137523/?ref_=chttp_i_13,8.8,1999
13,Inception,https://www.imdb.com/title/tt1375666/?ref_=chttp_i_14,8.8,2010
14,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=chttp_i_15,8.7,1980
15,The Matrix,https://www.imdb.com/title/tt0133093/?ref_=chttp_i_16,8.7,1999
16,Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=chttp_i_17,8.7,1990
17,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_18,8.7,1975
18,Seen,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_19,8.6,1995
19,Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chttp_i_20,8.7,2014
20,Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chttp_i_21,8.7,2024
21,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_22,8.6,1946
